date	venue	city	state	band
6/4/2002	SPAC	Saratoga, NY	NY	"Saves the Day,
Green Day,
Blink 182"
7/1/2005	SPAC	Saratoga, NY	NY	Dave Matthews Band
6/16/2006	SPAC	Saratoga, NY	NY	Dave Matthews Band
8/9/2006	Plaza	Albany, NY	NY	Fastball
8/21/2006	The JACC	Notre Dame, IN	IN	"Common,
Third Eye Blind"
9/2/2006	Legends of Notre Dame	Notre Dame, IN	IN	Rooney
11/4/2006	Morris Performing Arts Center	South Bend, IN	IN	Chicago
11/11/2006	Stepan Center	Notre Dame, IN	IN	Ben Folds
3/30/2007	Metro	Chicago, IL	IL	"The Feeling,
Rocco De Luca,
Mat Kearney"
3/31/2007	Legends of Notre Dame	Notre Dame, IN	IN	The Hush Sound
4/6/2007	The Murat Theatre at Old National Centre	Indianapolis, IN	IN	Umphrey's McGee
6/21/2007	Albany Waterfront Park	Albany, NY	NY	Asia
7/24/2007	SPAC	Saratoga, NY	NY	"Colbie Caillat,
Lifehouse,
Goo Goo Dolls"
6/19/2008	Albany Riverfront Park	Albany, NY	NY	Herman's Hermits
7/3/2008	SPAC	Saratoga, NY	NY	"Doobie Brothers,
Chicago"
8/12/2008	SPAC	Saratoga, NY	NY	"Sara Bareilles,
Maroon 5,
Counting Crows"
5/14/2009	Times Union Arena	Albany, NY	NY	Bruce Springsteen
7/9/2009	Albany Waterfront Park	Albany, NY	NY	"Kevin McKrell & The Hard Road Ceili Ban,
Black 47"
1/29/2010	Legends of Notre Dame	Notre Dame, IN	IN	The Antlers
3/20/2010	Legends of Notre Dame	Notre Dame, IN	IN	Sister Hazel
4/10/2010	Stepan Center	Notre Dame, IN	IN	"Mike Posner,
The Roots"
6/4/2010	SPAC	Saratoga, NY	NY	Dave Matthews Band
6/5/2010	SPAC	Saratoga, NY	NY	Dave Matthews Band
5/6/2011	Mt. Vernon Park	Baltimore, MD	MD	"Goldspot,
Can't Hang"
5/11/2011	Kraushaar Auditorium (Goucher College)	Baltimore, MD	MD	"Gaye Adegbalola,
Lea Gilmore,
Tom Hall,
Walt Michael, 
Dave Nachmanoff,
Sparky & Rhonda Rucker,
Joyce Scott,
Umoja Gaelica
"
6/9/2011	Bonnaroo	Manchester, TN	TN	"Matt+Kim,
The Decemberists,
My Morning Jacket,
Arcade Fire,
Lil Wayne"
6/10/2011	Bonnaroo	Manchester, TN	TN	"Old Crow Medicine Show,
Mumford and Sons,
The Black Keys,
Buffalo Springfield,
Eminem,
Girl Talk"
6/11/2011	Bonnaroo	Manchester, TN	TN	"Smith Westerns,
Robyn,
The Strokes,
Widespread Panic"
7/16/2011	Yankee Stadium	New York City, NY	NY	Paul McCartney
8/21/2011	Ed Sullivan Theater	New York City, NY	NY	Wilco
8/24/2011	Life is Good Festival	Canton, MA	MA	"Tristan Prettyman
Martin Sexton
The Hold Steady
Michael Franti & Spearhead
Ingid Michaelson
The Avett Brothers"
11/11/2011	Lincoln Hall	Chicago, IL	IL	"Nikki Lane,
Noah and the Whale"
12/6/2011	The Second City That Never Sleeps: Letters to Santa (Second City Theater)	Chicago, IL	IL	"Nina Nastasia,
Jeff Tweedy,
The Mountain Goats"
12/10/2011	Orpheum Theatre	Madison, WI	WI	"Lianne La Havas,
Bon Iver"
1/28/2012	The Sett at University of Wisconsin	Madison, WI	WI	"Parenthetical Girls,
Los Campesinos!"
2/6/2012	Athenaeum Theatre	Chicago, IL	IL	"The Music Tapes,
Jeff Mangum"
2/7/2012	The Empty Bottle	Chicago, IL	IL	"Mount Moriah,
Craig Finn"
2/18/2012	Vic Theatre	Chicago, IL	IL	Dr. Dog
3/28/2012	Lincoln Hall	Chicago, IL	IL	Fanfarlo
3/30/2012	Lincoln Hall	Chicago, IL	IL	Ben Kweller
4/12/2012	The Chicago Theatre	Chicago, IL	IL	Rodrigo Y Gabriela and Cuba
5/10/2012	Bluesfest (Grant Park)	Chicago, IL	IL	"Dexter Allen, 
Liz Mandeville & Donna Herula Duo,
Mavis Staples"
6/28/2012	Lincoln Hall	Chicago, IL	IL	Brendan Benson
7/12/2012	Taste of Chicago (Grant Park)	Chicago, IL	IL	Death Cab for Cutie
7/13/2012	Pitchfork (Union Park)	Chicago, IL	IL	"The Olivia Tremor Control,
Tim Hecker,
Japandroids,
Dirty Projectors,
Purity Ring,
Feist"
7/14/2012	Pitchfork (Union Park)	Chicago, IL	IL	"Cloud Nothings,
Cults,
Youth Lagoon,
Wild Flag,
Sleigh Bells,
Hot Chip,
Grimes"
7/15/2012	Pitchfork (Union Park)	Chicago, IL	IL	"The Men,
Real Estate,
AarabMuzik,
King Krule,
Beach House,
Vampire Weekend"
8/3/2012	Lollapalooza (Grant Park)	Chicago, IL	IL	"Metric,
The Head and the Heart,
Passion Pit,
Dawes,
M83,
The Black Keys"
8/4/2012	Lollapalooza (Grant Park)	Chicago, IL	IL	"JC Brooks and the Uptown Sound,
The Dunwells,
The Tallest Man on Earth,
The Weeknd,
Bloc Party,
Red Hot Chili Peppers"
8/5/2012	Lollapalooza (Grant Park)	Chicago, IL	IL	"Sigur Ros,
The Gaslight Anthem,
Of Monsters and Men,
Jack White"
9/7/2012	Wrigley Field	Chicago, IL	IL	Bruce Springsteen
9/29/2012		Madison, WI	WI	The Dirty Projectors
11/5/2012	Alliant Energy Center	Madison, WI	WI	"Mark Knoffler,
Bob Dylan"
11/15/2012	The Bottom Lounge	Chicago, IL	IL	Lil Ed & The Blues Imperials
2/23/2013	Orpheum Theatre	Madison, WI	WI	"Matt + Kim,
Passion Pit"
2/24/2013	Orpheum Theatre	Madison, WI	WI	Tegan & Sara
3/21/2013	Vic Theatre	Chicago, IL	IL	Local Natives
5/15/2013	Metro	Chicago, IL	IL	Youth Lagoon
5/19/2013	Aragon Ballroom	Chicago, IL	IL	The Shins
7/10/2013	Taste of Chicago (Grant Park)	Chicago, IL	IL	Fun.
7/12/2013	Americanarama Festival (Toyota Park)	Chicago, IL	IL	"Wilco,
Bob Dylan"
7/19/2013	Pitchfork (Union Park)	Chicago, IL	IL	"Woods,
Mikal Cronin,
Joanna Newsom,
Bjork"
7/20/2013	Pitchfork (Union Park)	Chicago, IL	IL	"Phosphorescent,
...And You Will Know Us By the Trail of Dead,
The Breeders,
Solange,
Belle and Sebastian
"
7/21/2013	Pitchfork (Union Park)	Chicago, IL	IL	"Foxygen,
Killer Mike,
Yo La Tengo,
Chairlift,
Run the Jewels,
Toro y Moi,
MIA,
R Kelly"
7/27/2013	Wicker Park Fest	Chicago, IL	IL	The Cults
7/27/2013	Subterranean	Chicago, IL	IL	Ted Leo & The Pharmacists
8/1/2013	Lollapalooza (Grant Park)	Chicago, IL	IL	"Band of Horses,
Killers"
8/2/2013	Lollapalooza (Grant Park)	Chicago, IL	IL	"The National,
The Lumineers,
Mumford & Sons"
8/3/2013	Lollapalooza (Grant Park)	Chicago, IL	IL	"Mowgli,
Tegan & Sara,
2 Door Cinema Club,
The Vaccines,
Vampire Weekend,
The Cure"
9/9/2013	Aragon Ballroom	Chicago, IL	IL	Alt-J
9/15/2013	Orpheum Theatre	Madison, WI	WI	"White Rabbit,
The National"
9/30/2013	The Hideout	Chicago, IL	IL	San Fermin
10/9/2013	House of Blues	Chicago, IL	IL	Noah and the Whale
10/21/2013	Vic Theatre	Chicago, IL	IL	Janelle Monae
11/22/2013	UIC Pavilion	Chicago, IL	IL	The Avett Brothers
2/3/2014	Rickshaw Stop	San Francisco, CA	CA	"Melodics,
Johnny Flynn"
2/8/2014	The Starry Plough Pub	Berkeley, CA	CA	Peggy Sue
3/3/2014	Great American Music Hall	San Francisco, CA	CA	Angel Olson
3/4/2014	The Chapel	San Francisco, CA	CA	San Fermin
4/11/2014	Coachella	Indio, CA	CA	"MS MR, 
Jagwar Ma, 
HAIM, 
Neko Case, 
Ellie Goulding, 
Broken Bells, 
Flume, 
Outkast"
4/12/2014	Coachella	Indio, CA	CA	"Cage the Elephant, CHVRCHES, Julian Casablancas, Washed Out, Future Islands, Sleigh Bells, 
Muse"
4/13/2014	Coachella	Indio, CA	CA	"Surfer Blood, Poolside, 
Chance the Rapper"
4/27/2014	The Greek	Berkeley, CA	CA	The National
6/13/2014	Bonnaroo	Manchester, TN	TN	"St. Paul & The Broken Bones, 
Sam Smith, 
Danny Brown, 
Janelle Monae, 
CHVRCHES, 
Neutral Milk Hotel, 
Phoenix, 
Speedy Ortiz, 
Disclosure, 
Chance the Rapper"
6/14/2014	Bonnaroo	Manchester, TN	TN	"Tedeschi Trucks Band, 
Drive By Truckers, 
Damon Albarn, 
Grouplove, 
Chromeo, 
Cut Copy, 
Jack White, 
The Flaming Lips "
6/15/2014	Bonnaroo	Manchester, TN	TN	"Fitz & The Tantrums, 
Arctic Monkeys, 
Avett Brothers, 
Elton John"
7/25/2014	Newport Folk Festival	Newport, RI	RI	"Jenny Lewis, 
Band of Horses, 
Ryan Adams"
7/26/2014	Newport Folk Festival	Newport, RI	RI	"The Oh Hellos, 
Milk Carton Kids, 
Shovels & Rope, 
Kurt Vile, 
Jack White"
7/27/2014	Newport Folk Festival	Newport, RI	RI	"Berklee Gospel Choir, 
The Deslondes, 
Caitlin Rose, 
Dawes, 
Hurray for the Riff Raff, 
Conor Oberst, 
Jeff Tweedy, 
Mavis Staples"
8/1/2014	Ommegang Brewery	Cooperstown, NY	NY	"The Baseball Project,
Dawes,
Conor Oberst"
8/23/2014	The Greek	Berkeley, CA	CA	Dave Matthews Band
10/8/2014	Fox Theatre	Oakland, CA	CA	Lily Allen
12/30/2014	Music Hall of Williamsburg	Brooklyn, NY	NY	The Hold Steady
2/13/2015	Bowery Ballroom	New York, NY	NY	The Hold Steady
3/24/2015	Silent Barn	Brooklyn, NY	NY	"Trace Mountain,
Nice Try,
Radiator Hospital"
4/6/2015	Beacon Theatre	New York, NY	NY	The Decemberists
4/23/2015	Music Hall of Williamsburg	Brooklyn, NY	NY	"White Hinterland,
San Fermin"
5/11/2015	Kings Theatre	Brooklyn, NY	NY	Passion Pit
5/13/2015	Thomas Fekete Benefit (Bowery Ballroom)	New York, NY	NY	"Cults, 
We Are Scientists, 
Marnie Stern & the Figs,
Julianna Barwick, 
The Pains of Being Pure at Heart, 
POP ETC, 
Andy Boay,
Surfer Blood"
5/20/2015	Capitol Theatre	Port Chester, NY	NY	"Craig Finn,
Jason Isbell"
5/20/2015	Terminal 5	New York, NY	NY	TV on the Radio
6/2/2015	Terminal 5	New York, NY	NY	Purity Ring
6/10/2015	Radio City Music Hall	New York, NY	NY	Belle & Sebastian
6/14/2015	Northside Festival	Brooklyn, NY	NY	"Sleigh Bells,
Run the Jewels"
6/16/2015	Kings Theatre	Brooklyn, NY	NY	Spoon
7/2/2015	Madison Square Garden	New York, NY	NY	Billy Joel
7/17/2015	Pitchfork (Union Park)	Chicago, IL	IL	"Natalie Prass,
Ilovemakonnen,
Mac Demarco,
Tobias Jesso Jr.,
Chvrches,
Wilco"
7/18/2015	Pitchfork (Union Park)	Chicago, IL	IL	"Kurt Vile,
The New Pornographers,
Shamir,
Future Islands,
Sleater-Kinney"
7/19/2015	Pitchfork (Union Park)	Chicago, IL	IL	"Waxahatchee,
Courtney Barnett,
Run the Jewels,
Chance the Rapper"
7/24/2015	Newport Folk Festival	Newport, RI	RI	"Angel Olsen,
The Lone Bellow,
The Tallest Man on Earth,
Roger Waters"
7/25/2015	Newport Folk Festival	Newport, RI	RI	"Luluc,
Madisen Ward & the Mama Bear,
Langhorne Slim & the Law,
Courtney Barnett,
Sufjan Stevens,
The Decemberists"
7/26/2015	Newport Folk Festival	Newport, RI	RI	"Brian Fallon,
Blake Mills,
J Mascis,
The Felice Brothers,
Laura Marling,
Lord Huron,
First Aid Kit,
65 Revisited"